Device ID,Vehicle Type,Trip Duration,duration_minutes,Trip Distance,Start Time,End Time,month,Hour,day ,Start District,End District,Origin Cell ID,Destination Cell ID,Year,Start Latitude,Start Longitude,End Latitude,End Longitude,status
0547f662-adfe-44d5-8e59-1e02a8235fa9,bicycle,478,7.97,9,09/14/2018 09:45:00,06/10/2018 11:15:00,10,21,5,9,9,14556,15185,2018,30.282,-97.745,30.281,-97.736,Active
42117de3-9822-4dd5-a592-8c4e7400585a,bicycle,3600,60,1743,06/10/2018 10:15:00,02/09/2018 10:45:00,9,10,6,5,5,12177,12966,2018,30.244,-97.781,30.248,-97.771,Active
a3978da1-f142-45cc-a147-51bf23e60356,bicycle,1020,17,1008,02/09/2018 10:30:00,11/17/2018 10:00:00,11,10,7,3,3,15493,15175,2018,30.264,-97.731,30.257,-97.736,Active
13b1d039-fce3-4f2a-a945-5545d281ef6d,bicycle,767,12.78,2,11/17/2018 09:45:00,01/09/2018 03:15:00,9,21,6,9,1,15185,15184,2018,30.28,-97.736,30.278,-97.736,Active
f8d74de9-86aa-4175-b39f-64a128e32616,bicycle,6,0.1,3,01/09/2018 03:15:00,08/24/2018 03:45:00,8,3,6,9,9,14865,14865,2018,30.268,-97.742,30.268,-97.742,Active
33e11698-0aa4-4df5-972f-9d98e16142de,bicycle,300,5,1455,08/24/2018 03:45:00,10/14/2018 01:15:00,10,15,5,9,9,14066,14536,2018,30.242,-97.752,30.236,-97.747,Active
80bf7f2b-e55a-43e8-8150-11172cb5cccf,bicycle,480,8,370,10/14/2018 01:15:00,09/22/2018 01:45:00,9,13,7,5,5,13442,13602,2018,30.256,-97.763,30.262,-97.761,Active
7bff3242-3f1d-4178-9644-0440f7c1ddf3,bicycle,81,1.35,0,09/22/2018 01:45:00,09/20/2018 09:15:00,9,13,6,1,1,15967,15967,2018,30.269,-97.724,30.269,-97.724,Active
ff76fc82-bca4-429d-afb5-1fdcfef93c45,bicycle,840,14,1809,09/20/2018 09:00:00,11/17/2018 06:00:00,11,9,4,3,9,15492,14707,2018,30.261,-97.732,30.268,-97.744,Active
e6aaaa5d-0070-4804-b450-4c1960b95aa9,bicycle,658,10.97,0,11/17/2018 05:45:00,03/10/2018 19:00:00,10,17,6,9,9,14225,14384,2018,30.245,-97.751,30.248,-97.749,Active
cbcb3ab2-0016-42e5-93c2-d08e2ba3e7dc,bicycle,355,5.92,1229,03/10/2018 18:45:00,02/09/2018 18:00:00,9,18,3,9,9,14549,15179,2018,30.266,-97.746,30.266,-97.738,Active
f61e3334-6e78-4b60-956a-8e9e029caaca,bicycle,1080,18,2406,02/09/2018 17:45:00,09/25/2018 06:15:00,9,17,7,9,5,14076,12493,2018,30.265,-97.752,30.246,-97.777,Active
