idstation,lat1,lon1
14863,30.263,-97.742
14707,30.267,-97.743
14872,30.285,-97.742
16287,30.28,-97.719
13445,30.263,-97.763
15018,30.257,-97.739
14385,30.251,-97.749
13920,30.268,-97.755
16587,30.243,-97.716
15022,30.268,-97.74
13920,30.269,-97.757
13445,30.262,-97.762
13432,30.233,-97.763
13131,30.264,-97.767
14389,30.26,-97.749
15655,30.276,-97.73
14543,30.251,-97.747
14078,30.27,-97.753
14389,30.261,-97.748
15493,30.264,-97.733
14717,30.291,-97.744
13604,30.266,-97.761
16594,30.26,-97.715
14227,30.25,-97.75
15027,30.281,-97.739
12650,30.246,-97.775
14078,30.27,-97.753
13130,30.263,-97.768
15649,30.262,-97.73
15964,30.261,-97.725
13133,30.271,-97.766
13759,30.261,-97.759
15492,30.262,-97.731
16594,30.262,-97.716
14706,30.265,-97.745
14870,30.28,-97.741
14870,30.28,-97.741
13446,30.265,-97.762
16749,30.254,-97.713
14392,30.269,-97.749
14389,30.262,-97.749
13907,30.239,-97.755
13758,30.258,-97.759
14868,30.276,-97.741
14711,30.278,-97.743
14400,30.288,-97.748
14550,30.269,-97.745
15019,30.262,-97.739
15340,30.275,-97.734
14549,30.267,-97.745
14227,30.25,-97.75
14227,30.25,-97.75
13442,30.256,-97.763
13917,30.263,-97.755
15018,30.259,-97.739
14543,30.253,-97.747
16285,30.275,-97.72
14706,30.265,-97.742
14077,30.268,-97.753
14719,30.296,-97.744
15805,30.257,-97.726
13920,30.27,-97.756
15155,30.21,-97.736
14549,30.267,-97.746
16607,30.292,-97.715
16114,30.242,-97.723
15018,30.258,-97.739
14078,30.271,-97.753
14391,30.265,-97.749
16446,30.284,-97.717
14560,30.293,-97.746
14553,30.277,-97.747
14233,30.264,-97.752
15810,30.269,-97.728
13759,30.261,-97.759
15037,30.304,-97.74
12968,30.252,-97.771
15348,30.293,-97.735
14389,30.26,-97.749
13751,30.242,-97.757
16285,30.275,-97.72
15020,30.262,-97.738
14707,30.268,-97.744
13918,30.264,-97.755
15019,30.26,-97.738
14067,30.245,-97.753
15954,30.238,-97.725
16121,30.26,-97.723
13920,30.27,-97.756
14864,30.266,-97.741
14705,30.264,-97.744
14705,30.264,-97.744
15021,30.266,-97.738
13131,30.265,-97.767
14385,30.251,-97.749
14538,30.24,-97.747
14705,30.262,-97.744
13918,30.264,-97.756
13760,30.263,-97.758
13916,30.26,-97.755
15018,30.258,-97.739
15495,30.27,-97.731
15021,30.264,-97.738
14385,30.252,-97.749
15641,30.242,-97.729
15651,30.265,-97.729
15335,30.264,-97.734
13130,30.263,-97.768
14705,30.263,-97.743
14077,30.268,-97.753
14235,30.27,-97.751
14871,30.284,-97.742
14391,30.266,-97.747
15178,30.265,-97.737
15652,30.269,-97.729
14079,30.272,-97.753
16921,30.29,-97.71
14546,30.259,-97.746
14546,30.259,-97.746
15017,30.257,-97.739
15495,30.27,-97.732
14704,30.26,-97.745
13605,30.268,-97.76
14558,30.289,-97.747
14389,30.261,-97.75
14393,30.27,-97.749
16750,30.258,-97.712
15495,30.27,-97.731
15179,30.266,-97.736
13442,30.256,-97.762
16446,30.284,-97.717
14386,30.254,-97.747
14546,30.259,-97.747
14546,30.259,-97.746
12973,30.264,-97.771
16613,30.307,-97.715
16111,30.236,-97.723
17239,30.296,-97.705
12973,30.264,-97.771
15962,30.257,-97.725
15037,30.303,-97.74
17075,30.281,-97.709
16613,30.307,-97.715
14864,30.267,-97.742
14077,30.267,-97.752
15962,30.257,-97.725
15495,30.269,-97.732
14389,30.261,-97.749
16293,30.295,-97.721
14705,30.264,-97.744
11229,30.236,-97.796
14389,30.261,-97.749
15021,30.265,-97.739
15964,30.262,-97.725
14866,30.272,-97.741
13600,30.257,-97.76
15021,30.266,-97.739
14233,30.264,-97.75
12972,30.262,-97.77
14705,30.264,-97.744
12657,30.262,-97.775
16595,30.263,-97.715
14862,30.261,-97.741
13918,30.264,-97.756
15188,30.289,-97.736
15188,30.289,-97.736
14078,30.27,-97.753
14864,30.267,-97.742
13288,30.265,-97.765
14865,30.27,-97.742
14391,30.265,-97.748
15964,30.262,-97.724
14713,30.283,-97.744
15967,30.268,-97.725
16285,30.274,-97.72
14392,30.267,-97.749
16751,30.259,-97.712
17397,30.298,-97.704
15965,30.263,-97.725
16119,30.256,-97.722
13289,30.266,-97.766
14393,30.269,-97.748
15964,30.262,-97.725
13917,30.262,-97.756
14702,30.255,-97.744
14708,30.269,-97.745
15022,30.267,-97.74
14865,30.268,-97.741
14548,30.264,-97.747
14401,30.29,-97.748
