duration,Trip Distance,datetime,month,hour,checkout_kiosk_id
4,16,04/10/2018 11:45:00,10,11,15021
2420,4200,07/13/2018 05:45:00,7,17,15021
720,1306,09/20/2018 02:15:00,9,14,14705
444,1175,07/13/2018 05:45:00,7,17,14550
463,1143,07/13/2018 05:45:00,7,17,14708
1022,5005,07/13/2018 05:45:00,7,17,15179
337,1110,07/13/2018 06:00:00,7,18,15179
458,3267,07/13/2018 06:00:00,7,18,15337
2530,4442,07/13/2018 06:15:00,7,18,13292
480,395,10/14/2018 01:45:00,10,13,13757
1560,6422,08/26/2018 09:45:00,8,9,15493
1064,3219,07/13/2018 06:30:00,7,18,14550
396,1271,07/13/2018 06:30:00,7,18,16277
604,2688,07/13/2018 06:30:00,7,18,14872
653,2414,07/13/2018 07:00:00,7,19,14708
798,3895,07/13/2018 07:00:00,7,19,16281
640,1352,07/13/2018 07:15:00,7,19,14393
605,1336,07/13/2018 07:15:00,7,19,14393
3242,1947,07/13/2018 07:15:00,7,19,16591
424,1674,07/13/2018 07:45:00,7,19,15019
943,3476,07/13/2018 07:45:00,7,19,17391
720,1,01/10/2018 00:00:00,10,0,15021
2243,810,09/24/2018 07:30:00,9,19,15017
4531,1529,07/13/2018 07:45:00,7,19,14387
240,817,02/09/2018 11:30:00,9,11,14547
989,3106,07/13/2018 07:45:00,7,19,13767
779,2527,07/13/2018 07:45:00,7,19,17075
525,1320,07/13/2018 08:00:00,7,20,16917
770,933,07/13/2018 08:00:00,7,20,15019
12021,66821,10/27/2018 02:00:00,10,14,14077
900,923,09/09/2018 18:00:00,9,18,14391
1518,5777,10/25/2018 03:45:00,10,15,16593
1065,4554,07/13/2018 08:15:00,7,20,15486
431,1529,07/13/2018 08:30:00,7,20,14389
2523,3315,07/13/2018 08:30:00,7,20,13760
1419,4635,07/13/2018 08:45:00,7,20,15967
334,1143,07/13/2018 08:45:00,7,20,14702
1681,5745,07/13/2018 08:45:00,7,20,16111
627,2334,07/13/2018 08:45:00,7,20,15180
682,1722,07/13/2018 09:00:00,7,21,15026
600,5,09/16/2018 06:30:00,9,18,14068
5674,8723,07/13/2018 09:00:00,7,21,15180
55,39,10/25/2018 11:15:00,10,11,14075
345,805,07/13/2018 09:00:00,7,21,14392
1161,4780,07/13/2018 09:15:00,7,21,13760
339,1014,07/13/2018 09:30:00,7,21,15018
2043,5172,10/23/2018 11:30:00,10,11,14707
986,4216,07/13/2018 09:45:00,7,21,14559
646,2929,07/13/2018 09:45:00,7,21,14391
476,1304,07/13/2018 10:00:00,7,22,14244
1137,2124,07/13/2018 10:15:00,7,22,14712
1039,2189,07/13/2018 10:15:00,7,22,14712
485,1046,07/13/2018 10:15:00,7,22,14873
300,2,09/21/2018 10:00:00,9,10,14389
607,1996,07/13/2018 10:15:00,7,22,14864
1170,2076,07/13/2018 10:45:00,7,22,15337
484,1577,07/13/2018 11:15:00,7,23,15964
1299,3267,07/13/2018 11:15:00,7,23,14705
808,1867,07/13/2018 11:15:00,7,23,15485
992,3299,07/13/2018 11:15:00,7,23,14705
1218,4683,07/13/2018 11:15:00,7,23,14391
2329,3170,07/13/2018 11:15:00,7,23,14716
3360,4725,03/10/2018 14:30:00,10,14,13445
3615,9785,07/13/2018 11:30:00,7,23,15180
645,1609,07/13/2018 11:30:00,7,23,14705
444,998,07/13/2018 11:30:00,7,23,14705
9,7,09/13/2018 04:30:00,9,16,12973
300,733,08/10/2018 03:15:00,10,3,14559
1380,2363,04/09/2018 14:15:00,9,14,14546
3,0,11/09/2018 12:30:00,9,12,13446
754,2891,10/13/2018 05:15:00,10,17,14546
1,0,09/15/2018 09:45:00,9,9,14705
480,1417,10/27/2018 02:15:00,10,14,12973
770,3,09/19/2018 06:15:00,9,18,15173
711,2448,08/28/2018 08:30:00,8,8,14070
1165,0,06/09/2018 10:45:00,9,10,15338
660,1124,08/10/2018 10:45:00,10,10,14389
597,2117,09/22/2018 02:15:00,9,2,14706
60,29,10/13/2018 10:15:00,10,22,14714
300,387,06/10/2018 15:45:00,10,15,15328
180,439,09/24/2018 04:45:00,9,16,14385
3449,30,09/30/2018 07:15:00,9,19,14389
1380,1143,04/09/2018 14:15:00,9,14,14546
12096,41788,02/09/2018 13:00:00,9,13,14549
180,12,10/14/2018 03:45:00,10,15,13445
2731,7851,09/24/2018 10:30:00,9,10,14545
660,0,04/10/2018 22:45:00,10,22,16285
900,37,08/26/2018 07:30:00,8,19,14391
600,898,08/30/2018 07:45:00,8,19,14390
33,62,09/18/2018 11:30:00,9,11,13288
180,897,09/16/2018 09:45:00,9,9,12808
600,1409,10/09/2018 22:00:00,9,22,15018
262,404,09/19/2018 01:00:00,9,1,15021
3215,4331,12/10/2018 21:30:00,10,21,14232
2340,11348,08/25/2018 03:30:00,8,15,13917
1320,579,05/09/2018 14:30:00,9,14,13764
260,736,09/20/2018 12:45:00,9,12,14225
300,864,09/18/2018 08:45:00,9,8,13069
1320,295,04/09/2018 16:00:00,9,16,14544
3793,475,10/25/2018 04:30:00,10,16,14705
657,2274,09/14/2018 03:15:00,9,15,14553
589,80,09/15/2018 01:45:00,9,13,14548
540,485,02/09/2018 18:15:00,9,18,14544
180,54,09/17/2018 06:15:00,9,18,14077
960,1483,03/09/2018 12:00:00,9,12,14385
7645,3982,02/09/2018 15:45:00,9,15,13289
180,0,09/14/2018 11:00:00,9,11,15019
1072,1557,01/09/2018 12:30:00,9,12,14384
1080,2188,01/09/2018 16:00:00,9,16,14078
240,430,08/24/2018 12:30:00,8,0,14707
1199,2652,09/22/2018 07:15:00,9,19,15019
56,0,09/20/2018 10:45:00,9,10,13600
1522,1399,08/25/2018 12:45:00,8,0,14390
60,18,09/28/2018 12:30:00,9,12,14075
1,0,02/09/2018 18:30:00,9,18,15016
360,151,10/14/2018 02:00:00,10,14,13442
892,944,09/19/2018 07:45:00,9,7,14389
1661,2041,05/09/2018 19:15:00,9,19,13917
120,53,05/10/2018 16:00:00,10,16,13603
7,0,12/10/2018 08:45:00,10,8,13917
1560,3369,04/10/2018 18:00:00,10,18,13602
1980,1025,03/09/2018 17:45:00,9,17,14075
660,0,10/20/2018 11:45:00,10,11,12972
2057,327,09/29/2018 11:30:00,9,11,14874
360,1397,08/29/2018 11:15:00,8,11,13442
34,22,09/21/2018 10:15:00,9,10,14078
1080,2748,07/09/2018 15:30:00,9,15,14706
1056,35,04/09/2018 04:45:00,9,4,14547
464,490,08/31/2018 01:00:00,8,1,14549
233,276,10/09/2018 12:30:00,9,12,15177
60,77,06/09/2018 13:45:00,9,13,15021
300,391,09/21/2018 02:45:00,9,14,17263
960,1622,01/09/2018 12:30:00,9,12,14384
2045,5895,10/09/2018 10:45:00,9,10,13441
4485,0,04/12/2018 17:00:00,12,17,14388
1080,2642,04/10/2018 18:00:00,10,18,13445
1560,4973,09/17/2018 01:45:00,9,13,14389
5680,1890,08/09/2018 18:00:00,9,18,14079
300,215,09/14/2018 09:15:00,9,9,14389
1080,50084,10/20/2018 05:00:00,10,17,16742
540,2227,10/13/2018 03:45:00,10,15,14076
420,39,10/10/2018 22:15:00,10,22,14234
720,558,08/29/2018 12:00:00,8,12,14548
480,43,10/13/2018 10:30:00,10,22,15179
6111,1561,08/26/2018 01:30:00,8,13,14865
14,8,08/25/2018 02:30:00,8,14,14546
720,28,09/14/2018 12:15:00,9,12,12973
240,1005,09/28/2018 04:45:00,9,16,13439
469,545,05/10/2018 15:00:00,10,15,14391
838,4,09/27/2018 09:15:00,9,21,15179
60,13,11/09/2018 23:00:00,9,23,14548
11,3,09/25/2018 04:45:00,9,16,13442
120,678,08/28/2018 10:15:00,8,22,13907
