Vehicle Type,Trip Duration,duration,Trip Distance,datetime,End Time,month,hour,day ,Start District,End District,checkout_kiosk_id,checkin_kiosk_id,year,lat,lon,lat1,lon1,status
bicycle,900,15,1872,08/26/2018 12:15:00,08/26/2018 12:30:00,8,12,7,5,5,13442,13918,2018,30.255,-97.761,30.264,-97.755,Active
bicycle,2438,40.63,2215,10-06-2018 08:00,10-06-2018 08:45,10,8,6,5,8,13442,13132,2018,30.256,-97.762,30.268,-97.767,Active
bicycle,164770,2746.17,2907,08/29/2018 12:00:00,08/31/2018 09:45:00,8,12,3,9,9,14863,14385,2018,30.265,-97.741,30.251,-97.749,Active
bicycle,900,15,1027,09-05-2018 23:15,09-05-2018 23:30,9,23,3,9,9,15021,15018,2018,30.264,-97.74,30.258,-97.739,Active
bicycle,1,0.02,0,10-06-2018 10:30,10-06-2018 10:30,10,10,6,9,9,14710,14710,2018,30.275,-97.742,30.275,-97.742,Active
bicycle,41,0.68,72,09/20/2018 11:30:00,09/20/2018 11:30:00,9,11,4,9,9,14225,14225,2018,30.245,-97.751,30.245,-97.751,Active
bicycle,8,0.13,0,09-02-2018 19:15,09-02-2018 19:15,9,19,7,5,5,13760,13760,2018,30.263,-97.757,30.263,-97.757,Active
bicycle,27000,450,1368,09/29/2018 11:30:00,09/30/2018 07:00:00,9,23,6,5,5,13603,12972,2018,30.264,-97.76,30.261,-97.77,Active
bicycle,960,16,43,10-04-2018 13:00,10-04-2018 13:15,10,13,4,9,5,13752,13442,2018,30.244,-97.757,30.256,-97.762,Active
bicycle,2471,41.18,8,11/24/2018 05:45:00,11/24/2018 06:15:00,11,17,6,9,9,14392,14392,2018,30.267,-97.748,30.267,-97.747,Active
bicycle,960,16,2112,09/15/2018 11:00:00,09/15/2018 11:15:00,9,23,6,9,9,13292,14235,2018,30.274,-97.763,30.27,-97.75,Active
bicycle,2440,40.67,2519,09/13/2018 09:45:00,09/13/2018 10:30:00,9,21,4,9,9,14389,14232,2018,30.261,-97.749,30.26,-97.75,Active
