stationid,lat,lon
13760,30.263,-97.759
13130,30.263,-97.768
15021,30.265,-97.739
14716,30.29,-97.745
13764,30.273,-97.758
14077,30.269,-97.753
14701,30.254,-97.744
15021,30.265,-97.739
15651,30.265,-97.729
15652,30.269,-97.729
14871,30.284,-97.742
15495,30.27,-97.731
15652,30.269,-97.729
15643,30.247,-97.73
15964,30.26,-97.724
14545,30.258,-97.746
13605,30.268,-97.76
14716,30.289,-97.745
14389,30.261,-97.75
15495,30.27,-97.731
14715,30.288,-97.743
16749,30.254,-97.713
13760,30.263,-97.758
13442,30.256,-97.762
16287,30.28,-97.721
14391,30.264,-97.748
13916,30.26,-97.755
13916,30.26,-97.755
14385,30.252,-97.749
15179,30.266,-97.736
15019,30.259,-97.738
17239,30.296,-97.705
14863,30.265,-97.742
14071,30.254,-97.754
14393,30.27,-97.749
16750,30.258,-97.712
15336,30.266,-97.735
14389,30.262,-97.749
14706,30.265,-97.743
15493,30.265,-97.732
14546,30.259,-97.746
14389,30.261,-97.749
16613,30.306,-97.715
12973,30.264,-97.771
12973,30.264,-97.771
14389,30.26,-97.749
14227,30.249,-97.75
14705,30.263,-97.743
14546,30.258,-97.746
14401,30.289,-97.748
13130,30.264,-97.768
14074,30.26,-97.754
14385,30.251,-97.749
16114,30.242,-97.723
13759,30.261,-97.759
15650,30.263,-97.729
15807,30.262,-97.726
13918,30.264,-97.756
14717,30.292,-97.745
14718,30.293,-97.744
14864,30.267,-97.741
14543,30.253,-97.747
13442,30.256,-97.762
12972,30.262,-97.77
12973,30.264,-97.771
15492,30.262,-97.731
14707,30.268,-97.744
15496,30.27,-97.731
15649,30.262,-97.73
14714,30.284,-97.743
15964,30.262,-97.724
16447,30.285,-97.717
16751,30.259,-97.712
15962,30.257,-97.725
15954,30.238,-97.725
14393,30.269,-97.748
13767,30.281,-97.758
13917,30.262,-97.756
14701,30.254,-97.744
14078,30.269,-97.754
14863,30.265,-97.741
14863,30.265,-97.741
14067,30.245,-97.753
13600,30.257,-97.76
13292,30.274,-97.764
15172,30.251,-97.736
15018,30.258,-97.739
13445,30.264,-97.763
14862,30.262,-97.741
12973,30.264,-97.771
14390,30.263,-97.747
14851,30.235,-97.742
15964,30.262,-97.725
15019,30.261,-97.738
16285,30.274,-97.72
13289,30.266,-97.766
14560,30.293,-97.746
